table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,1
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,76
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,12
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,891
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,121
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,428
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,36
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,40
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,1
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,75
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,24
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,724
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,10
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,447
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,103
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,34
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,1
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,89
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,21
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,706
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,10
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,394
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,100
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,39
